tag_code,node,slot,event_type_name,n_dets,min_det,max_det,duration_sec,travel_time_sec,residency_hr,node_id,node_order,path,direction
3DD.003DE66ACD,HRSC-OUT,2,Observation,14,2022-06-03T20:59:04Z,2022-06-03T20:59:04Z,0,37005,10.279166666666667,HRSC8,6,SRSC1 SRSC2 HRSC1-L HRSC-UP HRSC-MID HRSC-OUT,forward
3DD.003DE66AD6,HRSC-MID,6,Observation,1,2022-07-21T23:26:13Z,2022-07-21T23:26:13Z,0,332,0.09222222222222222,HRSC5,5,SRSC1 SRSC2 HRSC1-L HRSC-UP HRSC-MID,forward
3DD.003DE66CBB,HRSC-OUT,2,Observation,60,2022-05-13T20:19:56Z,2022-05-13T20:19:59Z,3,380278,105.63277777777778,HRSC8,6,SRSC1 SRSC2 HRSC1-L HRSC-UP HRSC-MID HRSC-OUT,forward
3DD.003DE66CE9,HRSC-OUT,4,Observation,25,2022-06-11T22:19:39Z,2022-06-11T22:19:39Z,0,3229,0.8969444444444444,HRSC8,6,SRSC1 SRSC2 HRSC1-L HRSC-UP HRSC-MID HRSC-OUT,forward
3DD.003DE66D10,HRSC-OUT,2,Observation,41,2022-06-07T20:58:21Z,2022-06-07T20:58:22Z,1,11175,3.1041666666666665,HRSC6,6,SRSC1 SRSC2 HRSC1-L HRSC-UP HRSC-MID HRSC-OUT,forward
3DD.003DE66D25,HRSC-OUT,4,Observation,38,2022-06-11T02:20:13Z,2022-06-11T02:20:14Z,1,290,0.08055555555555556,HRSC8,6,SRSC1 SRSC2 HRSC1-L HRSC-UP HRSC-MID HRSC-OUT,forward
3DD.003DE66F6A,HRSC-OUT,4,Observation,29,2022-05-09T20:57:45Z,2022-05-09T20:57:46Z,1,2045,0.5680555555555555,HRSC8,6,SRSC1 SRSC2 HRSC1-L HRSC-UP HRSC-MID HRSC-OUT,forward
3DD.003DE67062,HRSC-OUT,2,Observation,40,2022-05-26T19:49:45Z,2022-05-26T19:49:46Z,1,1496696,415.74888888888887,HRSC8,6,SRSC1 SRSC2 HRSC1-L HRSC-UP HRSC-MID HRSC-OUT,forward
3DD.003DE67092,HRSC-OUT,4,Observation,30,2022-05-07T20:41:07Z,2022-05-07T20:41:07Z,0,654,0.18166666666666667,HRSC8,6,SRSC1 SRSC2 HRSC1-L HRSC-UP HRSC-MID HRSC-OUT,forward
3DD.003DE67254,HRSC-OUT,4,Observation,42,2022-05-13T23:16:05Z,2022-05-13T23:16:06Z,1,2198,0.6105555555555555,HRSC8,6,SRSC1 SRSC2 HRSC1-L HRSC-UP HRSC-MID HRSC-OUT,forward
3DD.003DE672AB,HRSC-MID,3,Observation,57,2022-05-16T08:39:35Z,2022-05-16T08:43:32Z,237,238,0.0661111111111111,HRSC4,5,SRSC1 SRSC2 HRSC1-L HRSC-UP HRSC-MID,forward
3DD.003DE672B0,HRSC-OUT,4,Observation,32,2022-05-16T21:27:18Z,2022-05-16T21:27:19Z,1,1166,0.3238888888888889,HRSC8,6,SRSC1 SRSC2 HRSC1-L HRSC-UP HRSC-MID HRSC-OUT,forward
3DD.003DE672C9,HRSC-MID,2,Observation,8,2022-06-14T23:44:30Z,2022-06-14T23:44:30Z,0,2346055,651.6819444444444,HRSC4,5,SRSC1 SRSC2 HRSC1-L HRSC-UP HRSC-MID,forward
3DD.003DE672E2,HRSC-OUT,3,Observation,246,2022-05-18T21:21:11Z,2022-05-18T21:21:25Z,14,1466,0.4072222222222222,HRSC8,6,SRSC1 SRSC2 HRSC1-L HRSC-UP HRSC-MID HRSC-OUT,forward
