site,tag,detected,reader,antenna
0HR,3E7.0000001D03,9/23/2022 12:37,1,3
0HR,3E7.0000001D02,9/23/2022 12:37,1,2
0HR,3E7.0000001D01,9/23/2022 12:37,1,1
0HR,3E7.0000001D02,9/23/2022 11:37,1,2
0HR,3E7.0000001D01,9/23/2022 11:37,1,1
0HR,3E7.0000001D03,9/23/2022 11:37,1,3
0HR,3E7.0000001D02,9/23/2022 10:37,1,2
0HR,3E7.0000001D01,9/23/2022 10:37,1,1
0HR,3E7.0000001D03,9/23/2022 10:37,1,3
0HR,3E7.0000001D02,9/23/2022 9:37,1,2
0HR,3E7.0000001D01,9/23/2022 9:37,1,1
0HR,3E7.0000001D03,9/23/2022 9:37,1,3
0HR,3E7.0000001D01,9/23/2022 8:37,1,1
0HR,3E7.0000001D03,9/23/2022 8:37,1,3
0HR,3E7.0000001D02,9/23/2022 8:37,1,2
0HR,3E7.0000001D01,9/23/2022 7:37,1,1
0HR,3E7.0000001D03,9/23/2022 7:37,1,3
0HR,3E7.0000001D02,9/23/2022 7:37,1,2
0HR,3E7.0000001D02,9/23/2022 6:37,1,2
0HR,3E7.0000001D01,9/23/2022 6:37,1,1
0HR,3E7.0000001D03,9/23/2022 6:37,1,3
0HR,3E7.0000001D01,9/23/2022 5:37,1,1
0HR,3E7.0000001D03,9/23/2022 5:37,1,3
0HR,3E7.0000001D02,9/23/2022 5:37,1,2
0HR,3E7.0000001D03,9/23/2022 4:37,1,3
0HR,3E7.0000001D02,9/23/2022 4:37,1,2
0HR,3E7.0000001D01,9/23/2022 4:37,1,1
0HR,3E7.0000001D02,9/23/2022 3:37,1,2
0HR,3E7.0000001D01,9/23/2022 3:37,1,1
0HR,3E7.0000001D03,9/23/2022 3:37,1,3
0HR,3DD.003D7FF562,9/23/2022 2:53,1,2
0HR,3E7.0000001D02,9/23/2022 2:37,1,2
0HR,3E7.0000001D01,9/23/2022 2:37,1,1
0HR,3E7.0000001D03,9/23/2022 2:37,1,3
0HR,3E7.0000001D03,9/23/2022 1:37,1,3
0HR,3E7.0000001D02,9/23/2022 1:37,1,2
0HR,3E7.0000001D01,9/23/2022 1:37,1,1
0HR,3DD.003DE668FC,9/23/2022 0:46,1,1
0HR,3E7.0000001D01,9/23/2022 0:37,1,1
0HR,3E7.0000001D03,9/23/2022 0:37,1,3
0HR,3E7.0000001D02,9/23/2022 0:37,1,2
0HR,3E7.0000001D01,9/22/2022 23:37,1,1
0HR,3E7.0000001D03,9/22/2022 23:37,1,3
0HR,3E7.0000001D02,9/22/2022 23:37,1,2
0HR,3DD.003D350764,9/22/2022 22:45,1,2
0HR,3E7.0000001D01,9/22/2022 22:37,1,1
0HR,3E7.0000001D03,9/22/2022 22:37,1,3
0HR,3E7.0000001D02,9/22/2022 22:37,1,2
0HR,3E7.0000001D01,9/22/2022 21:37,1,1
0HR,3E7.0000001D03,9/22/2022 21:37,1,3
0HR,3E7.0000001D02,9/22/2022 21:37,1,2
0HR,3DD.003DE6691D,9/22/2022 20:38,1,3
0HR,3E7.0000001D03,9/22/2022 20:37,1,3
0HR,3E7.0000001D02,9/22/2022 20:37,1,2
0HR,3E7.0000001D01,9/22/2022 20:37,1,1
0HR,3DD.003DE668EC,9/22/2022 20:13,1,2
0HR,3DD.003DE66248,9/22/2022 19:46,1,2
0HR,3DD.003E2145B3,9/22/2022 19:38,1,3
0HR,3E7.0000001D02,9/22/2022 19:37,1,2
0HR,3E7.0000001D01,9/22/2022 19:37,1,1
0HR,3E7.0000001D03,9/22/2022 19:37,1,3
0HR,3DD.003DE66246,9/22/2022 19:26,1,3
0HR,3DD.003DE66246,9/22/2022 19:25,1,3
0HR,3DD.003DE66246,9/22/2022 19:24,1,3
0HR,3DD.003DE66246,9/22/2022 19:23,1,3
0HR,3DD.003DE66246,9/22/2022 19:22,1,3
0HR,3DD.003DE66246,9/22/2022 19:21,1,3
0HR,3DD.003DE66246,9/22/2022 19:20,1,3
0HR,3DD.003DE66246,9/22/2022 19:19,1,3
0HR,3DD.003DE66246,9/22/2022 19:18,1,3
0HR,3DD.003DE66246,9/22/2022 19:17,1,3
0HR,3DD.003DE662A2,9/22/2022 19:10,1,2
0HR,3E7.0000001D03,9/22/2022 18:37,1,3
0HR,3E7.0000001D02,9/22/2022 18:37,1,2
0HR,3E7.0000001D01,9/22/2022 18:37,1,1
